position_px_x-green,position_px_y-green,position_px_x-hotpink,position_px_y-hotpink,position_px_x-lightorange,position_px_y-lightorange
,,,,29,263
,,,,1053,11
,,,,119,906
,,,,985,42
,,,,879,39
246,827,62,1008,62,828
245,827,63,1007,63,827
245,827,62,1007,64,828
245,827,63,1006,62,827
245,826,62,1006,63,826
245,826,62,1006,61,826
244,825,62,1006,62,826
244,825,62,1006,60,826
244,824,62,1005,62,825
244,824,62,1005,61,825
243,824,62,1005,62,826
244,824,63,1005,61,826
244,824,63,1005,61,826
244,823,63,1005,60,825
244,823,64,1004,62,825
244,823,64,1004,62,826
245,823,64,1004,62,825
244,823,64,1004,61,825
245,823,64,1004,63,826
245,822,64,1004,62,825
245,823,63,1005,61,825
244,823,63,1004,62,826
243,822,63,1004,62,825
244,823,63,1004,62,826
244,824,63,1004,61,825
244,823,62,1004,61,825
244,823,62,1004,61,825
245,825,61,1004,62,825
245,824,62,1004,62,824
245,825,61,1005,63,825
245,825,62,1005,63,825
246,826,62,1004,64,825
245,826,62,1004,63,826
245,826,62,1004,64,826
246,826,62,1005,64,826
246,827,62,1005,63,826
245,827,62,1006,63,826
245,827,63,1006,64,826
244,827,62,1007,63,827
244,827,62,1006,62,827
244,827,62,1007,62,828
244,827,62,1008,62,828
244,827,62,1008,60,829
244,827,62,1008,61,829
244,828,62,1008,63,831
244,828,63,1010,63,831
245,829,63,1009,62,831
244,829,63,1010,,
245,830,63,1009,62,831
244,830,63,1010,64,831
244,830,63,1009,62,831
245,830,63,1009,63,830
245,829,62,1008,63,829
245,829,62,1008,63,830
244,829,62,1008,63,829
245,828,62,1008,62,829
245,828,62,1007,61,829
245,828,62,1008,63,829
245,827,62,1008,62,829
243,827,63,1009,62,829
243,826,64,1008,61,828
244,826,64,1008,61,829
245,826,64,1007,61,828
245,826,64,1008,61,829
245,825,64,1008,62,828
244,824,64,1007,62,828
245,825,63,1007,61,828
245,824,63,1007,61,827
244,824,63,1006,61,828
244,824,62,1007,62,827
244,824,62,1007,62,827
244,824,62,1007,61,827
244,825,62,1006,61,826
244,825,62,1006,61,827
245,826,62,1006,60,826
245,826,62,1007,62,827
245,826,63,1006,62,827
244,827,63,1006,62,826
245,827,63,1006,63,826
244,827,62,1006,64,826
245,827,63,1006,63,826
245,827,62,1007,64,827
245,827,62,1007,63,827
245,828,63,1007,63,828
245,827,62,1007,63,828
245,828,62,1007,63,828
245,828,62,1008,63,828
245,828,61,1008,62,830
244,829,61,1008,61,830
245,829,61,1009,62,829
245,829,61,1010,62,830
244,829,62,1010,60,831
244,828,62,1010,61,831
245,828,63,1009,62,831
244,828,65,1010,63,832
245,828,64,1009,62,831
245,828,65,1009,61,831
244,827,65,1009,62,830
244,827,64,1009,62,831
244,827,65,1009,62,829
244,827,64,1009,62,830
243,827,64,1009,61,830
243,827,64,1009,,
244,826,63,1008,61,829
244,827,62,1008,63,828
244,827,62,1007,62,828
245,827,62,1006,62,828
244,827,63,1006,62,827
244,828,62,1007,64,829
245,827,63,1007,63,828
245,827,63,1007,62,828
244,827,63,1007,62,828
244,827,63,1007,62,828
244,826,63,1007,62,828
244,826,63,1007,62,829
244,826,63,1007,60,828
244,826,62,1007,62,828
244,827,63,1007,61,829
244,827,62,1007,60,828
244,826,60,1006,62,827
244,825,59,1006,61,826
244,823,,,61,825
243,821,,,61,823
246,818,,,64,818
247,818,,,66,816
248,818,,,68,816
250,818,,,68,816
251,817,,,69,813
251,818,,,70,812
251,816,,,70,811
252,815,,,71,809
252,815,,,72,810
253,815,,,71,809
254,815,,,72,810
257,816,,,74,810
260,816,,,78,809
262,819,,,80,809
265,820,,,84,809
275,825,,,94,813
283,827,,,102,812
304,831,,,124,808
310,831,,,131,806
315,832,,,136,805
316,832,,,137,803
315,831,,,135,803
311,831,,,132,802
306,829,,,126,800
300,824,,,120,800
295,819,,,114,801
289,816,,,108,802
279,806,,,97,803
267,791,,,86,811
255,777,,,78,822
241,758,,,,
201,730,,,,
182,733,,,,
172,749,,,,
174,773,420,843,,
189,802,444,788,,
218,830,455,734,,
,,441,646,,
376,864,424,617,,
,,402,599,,
497,823,382,596,,
549,784,367,606,,
591,737,362,625,,
637,630,391,679,490,530
635,532,473,722,456,541
619,496,529,728,452,562
599,472,588,722,,
576,461,646,703,,
556,463,702,671,,
543,476,749,629,,
542,500,785,580,,
553,528,810,527,,
581,554,823,472,,
669,592,809,381,,
726,594,792,350,,
786,584,769,330,,
845,560,747,325,,
898,525,729,331,,
978,429,721,373,880,276
998,373,738,402,857,258
989,230,862,456,808,281
967,200,921,454,810,305
942,186,955,444,815,325
915,182,969,434,811,339
863,183,995,404,815,364
838,188,1005,384,820,372
818,196,1013,364,828,382
798,206,1019,341,838,387
769,230,1023,290,864,386
758,244,1020,263,878,383
751,257,1014,235,891,375
747,284,991,182,918,352
749,295,976,157,930,335
754,305,957,134,939,315
772,317,913,93,952,270
783,318,888,77,955,246
795,317,862,63,954,219
808,312,833,51,951,191
822,305,806,44,,
835,294,779,39,934,137
847,280,752,38,921,111
858,263,726,40,904,85
857,236,675,52,859,49
848,245,675,51,859,57
838,251,674,50,857,64
818,265,673,49,854,81
808,272,673,49,853,89
797,278,673,50,851,97
786,284,673,50,849,106
764,295,673,51,842,124
742,305,672,52,834,141
730,309,674,54,829,150
719,313,673,55,825,159
707,317,673,57,819,167
694,320,673,58,815,175
634,332,671,72,782,218
622,334,670,75,774,227
610,335,669,79,766,235
597,336,668,82,758,243
585,336,667,86,748,251
573,337,665,90,740,260
561,337,664,95,730,267
549,336,662,99,720,274
537,336,660,104,710,281
524,335,657,109,700,288
512,334,655,114,689,295
501,332,651,120,679,302
487,331,649,125,668,309
476,329,645,130,657,315
465,327,641,136,645,322
452,324,637,142,633,327
440,322,632,148,621,333
429,320,628,154,608,338
417,317,623,160,596,343
406,313,618,167,582,348
395,310,614,174,571,353
384,307,608,180,556,357
373,303,603,186,543,361
361,298,596,193,530,365
351,295,589,200,515,369
329,287,575,214,487,376
318,282,568,221,472,378
309,278,559,227,458,380
299,273,551,235,445,384
288,268,542,242,428,384
278,264,534,248,414,386
269,260,524,255,398,387
259,255,515,262,383,388
249,250,504,269,368,388
240,245,494,275,354,390
230,240,483,282,338,388
202,226,449,301,290,388
193,221,437,307,274,386
185,217,424,313,258,385
176,212,411,319,242,384
167,208,398,325,227,382
159,203,384,330,210,379
150,199,370,336,194,378
142,195,356,341,178,375
134,191,342,345,163,372
118,183,311,354,130,366
109,179,296,359,114,363
101,176,280,364,98,359
94,173,264,368,82,355
85,169,248,370,66,349
76,172,250,366,67,355
67,176,252,360,70,360
64,178,253,357,72,360
67,175,254,356,72,358
69,172,254,356,71,354
71,169,253,354,71,352
74,165,253,354,71,348
76,163,252,354,70,345
78,160,252,353,70,343
80,158,251,351,68,339
81,156,251,350,68,336
82,154,249,350,68,332
,,247,348,65,326
,,246,346,65,324
,,247,344,66,322
,,247,341,66,321
,,249,340,67,319
,,249,337,67,316
,,249,332,67,313
,,247,328,66,309
,,248,326,66,307
,,246,324,65,305
,,246,321,65,304
,,247,318,65,302
,,247,315,66,301
,,248,312,65,300
,,248,309,65,298
,,247,302,65,296
,,247,298,64,295
,,247,294,64,293
,,248,292,66,292
,,250,289,67,291
,,251,288,69,289
,,252,284,71,288
,,253,283,71,286
,,254,280,72,285
,,256,277,74,283
,,256,275,75,281
,,257,272,75,280
,,257,269,75,279
,,258,262,76,272
,,259,260,76,270
,,258,258,77,267
,,258,254,77,264
,,258,251,76,261
,,256,250,74,258
,,255,247,74,255
,,255,246,73,253
,,253,244,73,250
,,252,242,72,248
,,251,241,69,245
,,249,238,66,239
67,49,247,237,66,236
67,48,247,234,65,233
65,46,247,232,66,232
65,43,248,227,67,228
66,42,250,223,67,226
65,41,250,221,68,223
64,39,251,218,68,221
64,37,250,217,69,219
64,33,249,215,68,218
65,32,248,216,66,215
64,30,247,217,65,214
65,32,248,217,66,215
65,32,247,219,65,217
66,32,246,220,65,218
65,32,247,219,64,217
66,33,246,219,64,217
66,34,246,221,65,217
66,35,246,221,66,218
66,35,247,222,65,219
66,35,247,222,65,218
66,35,247,222,67,218
67,35,246,221,63,219
66,35,247,222,64,218
65,36,247,222,66,220
65,35,247,220,65,219
64,35,247,220,65,219
64,35,246,220,65,219
64,34,246,219,65,218
64,35,246,219,65,218
65,33,247,219,65,217
65,33,247,218,65,217
66,32,247,218,65,217
66,32,246,218,65,216
65,31,247,217,65,215
65,30,247,216,65,214
64,29,247,216,64,214
64,29,247,216,65,214
62,29,247,215,65,215
62,30,246,214,65,215
61,29,246,214,63,214
62,29,246,215,63,214
63,30,247,216,66,215
63,30,246,216,64,215
64,30,248,216,65,214
64,31,248,216,66,214
66,31,248,216,66,215
64,32,248,216,65,214
64,31,247,216,65,215
63,31,247,217,65,215
63,31,246,217,65,216
63,32,246,217,64,215
64,31,247,216,64,215
65,31,247,217,64,215
65,32,247,217,65,215
64,31,248,216,66,215
64,31,247,216,65,215
63,30,246,215,65,215
64,30,246,215,65,215
64,31,247,216,66,215
64,30,247,215,65,215
64,30,247,216,65,215
64,30,247,216,64,214
63,29,247,216,66,215
63,30,247,216,66,215
64,31,246,216,64,214
63,31,246,216,65,215
65,31,247,216,64,214
64,30,247,216,65,215
64,31,248,215,66,215
65,31,247,217,65,214
65,32,247,217,66,215
66,32,248,216,,
65,31,247,216,67,215
64,32,247,216,,
64,31,247,217,,
63,32,247,216,,
63,31,246,216,,
65,31,246,217,,
66,31,248,217,,
66,31,247,216,,
65,31,248,216,,
65,31,248,216,,
65,30,247,215,,
64,31,247,216,,
64,31,246,215,,
62,30,246,216,,
63,30,247,216,,
62,29,247,215,,
63,29,246,216,,
64,31,246,216,,
64,29,247,217,,
64,29,247,216,,
65,30,247,216,,
64,30,246,217,,
64,30,247,216,,
64,30,247,216,,
64,31,246,216,,
64,32,246,216,,
64,31,246,217,,
64,31,247,216,,
64,32,247,216,,
65,31,247,217,,
64,32,247,216,,
63,32,247,218,,
65,31,246,218,,
66,31,246,217,,
64,32,246,216,,
65,32,246,217,,
65,30,247,216,,
66,31,246,217,,
65,29,246,217,,
66,29,246,215,,
66,31,246,216,,
65,32,246,216,,
64,30,246,216,,
64,30,246,216,,
64,30,247,215,,
64,29,248,216,,
67,30,249,216,,
66,29,249,214,,
67,30,249,214,,
66,30,249,216,,
67,30,249,215,,
66,29,249,215,,
66,29,249,215,,
65,31,249,215,,
65,31,248,215,,
64,32,247,215,,
65,31,246,216,,
64,29,248,216,,
63,29,247,215,,
65,29,247,215,,
62,29,248,216,,
63,30,247,215,,
63,29,247,216,,
63,30,247,216,,
63,31,247,215,,
63,30,247,215,,
63,31,247,216,,
64,32,247,216,,
64,32,248,215,,
64,32,248,216,,
64,32,247,216,,
66,31,248,216,,
65,31,247,216,,
63,31,247,216,,
64,31,245,217,,
64,30,245,216,,
65,29,245,216,,
64,30,246,215,,
64,29,247,216,,
65,29,247,216,,
63,29,247,216,,
63,29,247,216,,
64,30,247,216,,
63,30,247,216,,
63,29,246,216,,
62,29,247,215,,
62,29,246,216,,
64,30,246,216,,
64,30,247,215,,
64,29,247,216,,
64,29,247,216,,
64,30,247,217,,
63,30,247,216,,
63,30,246,215,,
62,31,246,215,,
64,30,246,215,,
62,29,247,215,,
63,30,246,216,,
64,29,247,215,,
64,31,247,215,,
65,30,247,215,,
65,31,247,216,,
65,37,248,220,,
66,46,253,227,,
,,267,247,,
61,113,279,258,,
67,152,299,266,,
79,259,336,288,,
93,317,349,298,236,439
109,373,356,308,,
153,482,360,332,,
180,533,357,347,361,529
208,580,351,365,386,544
273,662,334,410,426,569
306,698,324,439,,
339,729,312,471,450,586
371,757,301,508,456,598
402,781,291,548,459,609
431,801,281,592,457,621
459,819,275,639,454,637
481,833,270,689,447,653
502,846,269,740,438,674
519,856,271,795,426,698
532,866,277,850,414,727
540,873,286,896,402,757
540,863,286,892,400,751
538,852,284,887,395,743
536,841,284,881,390,735
535,830,283,877,387,729
533,819,282,871,383,720
531,808,282,866,378,712
528,797,282,861,374,705
527,785,281,856,372,698
522,763,280,845,362,684
520,753,280,839,358,677
516,742,278,834,354,670
513,732,277,829,348,662
504,701,274,812,334,643
500,690,273,807,,
497,680,272,801,325,630
493,670,272,796,319,623
485,649,269,785,309,610
481,638,268,779,304,603
476,628,266,773,300,598
472,617,265,768,294,591
467,608,264,762,289,585
462,598,262,757,284,579
457,588,260,750,277,572
451,578,259,744,271,567
446,568,257,738,266,561
441,558,256,732,261,554
436,548,254,726,255,549
430,538,252,720,250,543
424,529,250,715,245,536
418,519,248,708,239,531
412,509,246,702,,
405,500,244,696,,
399,490,241,689,,
392,481,238,683,,
388,472,235,674,,
385,463,231,665,,
383,456,227,656,,
379,447,225,650,,
375,440,226,645,,
371,433,227,643,,
365,426,229,641,,
361,420,232,638,,
355,414,234,637,,
346,408,242,640,,
329,405,260,650,,
306,408,297,664,,
279,425,352,672,,
253,462,411,666,,
238,516,457,646,,
239,581,490,618,,
259,650,505,589,,
301,715,503,563,,
355,765,488,547,,
,,462,545,560,694
,,432,562,,
650,740,399,779,507,629
651,710,434,843,,
638,691,,,,
612,684,547,936,,
581,696,613,957,,
551,726,674,959,,
528,774,727,946,,
521,835,764,921,,
527,879,784,894,652,1015
538,896,792,866,,
595,942,797,787,,
620,954,791,766,,
648,962,783,747,,
678,967,774,730,,
710,969,762,718,,
741,967,749,709,873,845
774,961,737,705,882,818
834,937,712,707,888,765
888,898,696,722,878,718
911,876,690,734,871,699
959,798,699,781,835,661
967,771,709,799,822,657
972,745,723,816,808,656
972,717,741,832,796,658
969,693,762,845,785,664
963,672,785,857,776,673
953,652,811,865,771,686
942,636,840,870,769,699
929,624,870,872,770,716
915,614,900,870,776,732
901,609,932,864,785,750
887,607,962,855,798,767
874,609,991,842,815,782
863,616,1018,825,835,797
846,638,1064,786,882,818
843,645,1073,771,894,820
839,641,1066,773,887,817
836,638,1060,773,881,815
830,631,1048,775,867,809
827,628,1042,777,861,807
824,624,1036,777,854,804
819,618,1024,780,840,800
815,615,1018,781,834,797
813,611,1011,782,827,794
805,607,998,783,814,789
803,604,990,784,807,786
799,601,983,785,800,783
796,598,977,786,792,779
793,595,970,787,786,777
791,592,962,787,779,774
787,590,955,789,772,771
784,588,949,789,766,768
781,586,942,790,759,766
778,584,934,791,752,762
775,581,927,792,745,760
772,579,918,793,738,757
761,573,895,794,717,747
758,571,887,795,710,745
755,569,878,795,703,742
751,568,870,797,696,739
748,566,862,797,689,736
744,565,853,798,682,733
741,563,845,798,675,730
733,559,828,799,661,724
730,557,819,799,654,721
726,556,810,799,647,718
718,554,792,800,632,713
714,553,784,800,625,709
710,552,775,801,618,707
706,552,765,801,611,704
702,551,756,801,603,702
697,550,746,801,596,699
694,549,736,801,589,696
689,549,727,802,582,693
684,547,717,801,575,690
680,547,708,801,567,687
671,546,687,801,552,682
666,546,678,801,545,678
661,546,668,801,538,676
656,546,658,801,530,673
651,546,648,800,523,671
646,545,638,800,515,668
642,546,627,800,508,666
636,546,617,799,500,663
631,545,607,799,493,660
625,546,598,799,486,659
619,545,592,797,480,657
617,544,591,797,478,657
618,545,593,798,480,658
619,545,598,798,482,660
617,543,608,797,485,664
609,539,620,793,487,672
594,535,633,785,486,680
569,531,647,772,485,692
529,534,659,749,,
490,542,668,720,,
454,557,672,686,,
426,576,669,648,513,735
405,598,659,609,528,730
393,620,641,570,544,716
387,641,617,531,,
397,669,549,465,,
440,661,417,412,,
454,644,370,408,,
467,620,325,412,,
473,591,287,421,,
475,557,251,437,,
470,520,223,456,,
459,480,203,477,,
439,439,190,499,,
379,366,186,532,,
341,334,193,542,,
249,291,217,542,101,403
200,280,231,532,84,422
151,276,243,513,75,444
104,280,251,489,71,460
63,288,256,461,74,470
72,275,256,458,74,458
80,261,256,452,74,442
88,248,255,447,74,428
97,234,254,441,72,414
106,221,252,436,72,400
115,208,251,429,73,384
132,184,246,416,72,354
142,171,244,409,73,339
149,159,240,401,74,323
158,147,237,394,74,307
167,136,234,385,76,292
176,125,230,377,77,274
184,113,226,368,78,260
192,102,222,359,79,244
201,92,218,350,80,228
209,82,213,340,82,211
217,71,209,329,85,197
224,62,205,319,85,179
232,52,200,308,88,163
240,42,195,297,,
247,37,184,290,,
245,41,178,292,,
244,44,172,294,,
241,51,159,299,,
237,59,147,302,70,137
235,63,140,304,67,138
237,68,135,305,67,135
241,73,130,308,68,136
245,79,126,309,70,136
248,85,121,310,,
252,91,116,310,,
255,97,112,311,,
258,103,107,312,,
263,116,96,312,,
265,122,92,313,,
267,128,87,312,,
269,134,82,312,,
269,141,77,312,,
271,148,72,312,,
272,155,67,310,,
273,159,67,313,,
275,162,68,315,,
275,164,69,318,,
277,166,71,319,,
277,168,71,321,,
278,170,77,319,99,143
281,174,,,99,146
281,179,,,99,149
281,180,,,100,151
281,187,,,100,156
281,188,,,99,157
280,190,,,98,160
279,192,,,98,161
278,194,,,97,163
277,196,,,96,164
277,197,,,95,166
276,198,,,94,167
274,198,,,94,170
274,198,,,93,172
274,198,,,91,172
271,198,,,90,174
271,199,,,89,176
270,199,,,87,179
271,197,,,87,185
271,196,,,88,200
271,191,,,92,227
268,190,,,98,256
264,191,,,,
259,197,254,457,,
252,207,292,464,143,354
242,240,369,468,,
240,262,403,464,,
240,287,435,458,,
242,315,464,448,,
250,346,490,437,,
260,378,511,425,,
275,412,529,412,,
294,443,542,399,,
315,476,551,386,,
342,506,558,374,516,548
372,534,560,365,,
404,557,560,358,,
476,596,552,354,632,515
512,609,546,357,652,502
549,620,538,365,669,489
587,625,532,376,681,475
623,627,524,392,689,463
658,627,520,411,694,452
689,622,517,433,696,443
745,604,519,486,690,433
769,592,525,516,684,433
788,580,534,547,677,436
803,566,548,578,669,444
823,539,588,640,654,472
827,529,613,668,648,491
823,513,672,719,643,539
819,510,706,740,645,566
811,511,741,757,650,596
803,515,778,771,,
794,522,814,781,673,659
786,535,850,786,691,690
778,550,885,788,711,721
771,569,918,785,737,751
766,592,950,780,,
764,618,977,772,796,802
766,647,1001,763,829,822
771,677,1022,751,864,840
810,775,1064,714,,
831,806,1070,702,1005,873
856,835,1072,692,1039,871
884,862,1071,685,1069,866
885,872,1070,688,1070,872
880,875,1070,698,1064,883
873,881,1067,709,1057,893
866,886,1067,720,1050,903
861,890,1065,731,1044,913
854,894,1064,740,1036,923
848,899,1062,752,,
842,905,1061,763,1022,943
836,908,1060,775,1015,953
832,913,1058,786,1008,962
826,916,1056,797,1001,972
815,925,1052,818,986,990
809,929,1049,830,979,1000
803,934,1046,842,970,1009
797,938,1043,853,962,1019
793,942,1038,857,960,1020
792,945,1032,850,960,1016
790,949,1026,843,962,1013
789,953,1020,836,963,1009
787,955,1014,830,965,1004
787,959,1007,823,966,1000
786,965,993,810,968,990
786,968,985,804,968,984
785,970,977,798,968,979
784,975,959,787,967,968
784,978,951,782,966,963
784,983,932,773,964,952
784,984,923,768,962,945
784,985,914,763,962,939
784,987,905,759,960,933
785,988,895,755,958,926
786,988,885,751,956,920
786,989,875,748,953,913
787,991,864,744,949,907
786,990,853,742,945,900
787,991,843,739,942,895
787,991,832,737,937,887
787,990,821,735,932,881
787,990,810,733,928,873
788,988,799,731,923,867
788,987,788,729,918,860
789,986,777,728,913,853
789,985,766,727,907,847
790,983,755,727,901,840
789,980,733,727,888,827
788,978,721,727,879,820
787,976,709,728,872,815
786,973,698,729,864,808
785,969,687,729,855,802
784,966,677,730,847,796
783,963,665,732,839,790
782,960,654,734,830,784
780,956,643,735,821,778
779,952,633,738,811,773
777,948,622,740,802,768
774,944,611,743,792,763
772,941,600,746,781,757
769,936,589,749,770,753
766,931,579,752,759,748
762,926,568,755,748,744
759,921,558,759,737,739
755,916,548,762,726,736
751,911,538,766,714,732
747,905,528,771,702,728
738,896,508,779,679,723
727,884,489,789,654,717
721,878,479,793,641,715
714,873,469,798,628,712
708,867,460,803,615,710
702,861,451,808,602,709
695,856,442,813,589,707
688,850,434,818,576,706
679,844,425,823,563,705
672,838,418,829,548,705
665,832,409,833,536,705
655,827,401,839,522,705
637,815,384,850,495,706
618,804,369,860,467,707
609,800,362,866,453,708
598,794,354,871,439,709
588,788,347,875,426,712
577,784,340,881,412,714
566,779,333,886,398,716
554,774,326,891,384,718
543,769,319,896,371,719
531,764,312,901,356,724
519,761,306,905,342,727
505,755,300,910,328,730
493,752,293,914,314,734
480,748,286,918,300,737
467,743,279,922,286,740
454,740,273,926,272,744
439,737,266,929,259,748
426,734,260,933,246,752
411,731,254,936,232,757
396,728,248,940,217,761
382,725,242,943,204,766
352,720,230,949,177,775
336,719,223,952,164,782
321,717,217,954,151,787
305,715,211,956,137,791
289,714,205,958,125,796
273,713,199,959,112,802
257,712,193,961,99,807
239,710,186,962,86,814
223,710,179,963,73,817
209,710,176,964,,
214,710,179,964,70,821
218,710,183,964,73,820
222,710,186,964,76,821
227,710,189,964,80,821
231,710,191,964,84,821
237,710,197,964,90,820
241,711,199,964,,
244,711,202,965,96,818
248,711,204,964,99,818
252,711,206,964,102,817
255,712,208,964,105,817
258,712,210,965,107,817
261,713,212,965,110,816
264,712,214,965,113,816
267,713,216,965,114,815
269,713,217,965,116,814
271,713,218,965,119,814
278,714,222,965,124,814
281,714,223,965,126,813
282,714,224,966,127,813
284,715,225,966,129,813
286,715,225,965,130,813
288,716,226,965,131,812
289,716,227,966,133,811
291,716,227,966,134,812
292,717,228,966,135,811
294,717,228,966,136,811
294,717,228,966,136,810
295,718,228,966,137,811
298,719,227,967,138,810
298,720,227,967,139,809
299,720,226,967,140,810
300,721,226,968,139,809
300,721,225,968,139,809
300,722,224,968,139,808
301,722,223,968,139,809
300,723,222,968,138,808
300,723,220,968,138,808
300,723,219,968,138,809
300,724,218,969,137,808
299,725,217,969,136,808
299,726,215,970,135,808
298,726,214,970,134,808
298,727,212,970,133,808
297,728,210,970,132,808
295,728,206,970,129,807
293,730,201,971,126,808
291,731,199,971,125,808
289,732,197,972,123,808
288,732,194,972,120,808
287,733,192,973,119,808