frame_no,timestamp,position_px_x-darkorange,position_px_y-darkorange,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,position_px_x-hotpink,position_px_y-hotpink,position_px_x-yellowneon,position_px_y-yellowneon
15,512.5,374.0,870.0,9.626551807540643,21.84749346392203,0.3415376836173478,0.0,6.82392974260435,0.0,1014.0,859.0,103.0,343.0
18,612.5,374.0,869.0,9.694825224615402,21.84749346392203,0.3439082795577066,0.0,-6.776517823797175,0.0,1014.0,858.0,103.0,343.0
20,679.1,374.0,869.0,9.626551807540643,21.84749346392203,0.3506363490142271,0.0,6.848366191684124,0.0,1014.0,859.0,103.0,343.0
28,953.0,374.0,870.0,9.626551807540643,21.84749346392203,0.0,-0.3988827380361453,0.0,-7.359460111367995,1014.0,859.0,103.0,343.0
29,979.0,374.0,869.0,9.626551807540643,21.779220046847275,0.0,-0.3279801408493206,0.0,6.693472262231033,1015.0,859.0,103.0,343.0
30,1013.5,374.0,869.0,9.626551807540643,21.779220046847275,0.0,0.0114806756588385,0.0,13.506677245693002,1013.0,859.0,103.0,343.0
37,1244.7,374.0,870.0,9.558278390465889,21.779220046847275,0.0,0.0,0.0,0.0,1014.0,859.0,103.0,343.0
38,1276.4,374.0,870.0,9.558278390465889,21.779220046847275,0.0,0.0,0.0,0.0,1014.0,859.0,104.0,343.0
39,1312.6,374.0,870.0,9.558278390465889,21.84749346392203,0.340155689983415,0.007624241266957,6.892719148600113,-13.86225684900836,1013.0,859.0,103.0,343.0
40,1344.6,374.0,870.0,9.558278390465889,21.779220046847275,1.0220550997654496,0.6813700665103056,20.461563558867887,13.64104237257871,1014.0,859.0,104.0,343.0
41,1376.5,374.0,869.0,9.558278390465889,21.779220046847275,2.557135752967154,1.59820984560446,51.09162343590723,31.932264647441787,1014.0,858.0,104.0,343.0
42,1412.4,374.0,869.0,9.626551807540643,21.779220046847275,5.806825399935267,3.073154360775772,102.6597800488316,75.29572617784221,1014.0,859.0,104.0,343.0
43,1444.7,374.0,869.0,9.763098641690156,21.915766880996788,9.02317818552071,5.01645357533781,139.40103555712113,72.97401274884983,1014.0,859.0,104.0,343.0
44,1481.0,374.0,870.0,10.10446572706394,22.12058713222105,13.68591903770294,7.528057761649634,161.89944421453845,81.55764762136539,1014.0,859.0,103.0,344.0
45,1512.3,374.0,870.0,10.718926480736746,22.46195421759484,16.307113532929023,9.5156531547244,107.5561985896823,53.68322865596432,1014.0,859.0,104.0,343.0
46,1546.4,374.0,870.0,11.40166065148431,22.80332130296862,20.3241696759186,11.023708058453378,82.8406850013428,45.16275191418982,1014.0,859.0,104.0,342.0
47,1576.6,374.0,869.0,12.15266823930663,23.21296180541716,22.88995868363156,12.803208295676392,30.653686453424488,28.80115016162133,1014.0,858.0,104.0,343.0
48,1612.9,374.0,869.0,12.903675827128948,23.69087572494045,24.267484060406296,13.672052797552867,50.7016647796469,28.948971002653227,1014.0,859.0,104.0,343.0
49,1644.4,374.0,869.0,13.79123024910078,24.10051622738899,25.73285671885205,14.733579966067976,27.540683221788704,30.548919669781537,1014.0,859.0,104.0,343.0
50,1677.2,374.0,870.0,14.610511253997858,24.64670356398704,27.672348462370035,15.366024125374894,64.4236451318333,22.14946275484982,1014.0,859.0,104.0,343.0
51,1712.3,374.0,870.0,15.566339093044446,25.19289090058509,30.07405224471527,16.74733700974803,66.13069305353169,32.92797491676654,1014.0,859.0,103.0,344.0
52,1745.1,374.0,869.0,16.522166932091036,25.739078237183143,31.812382165833885,18.46430545363073,93.20460867457368,43.54691920931996,1014.0,858.0,103.0,343.0
53,1776.7,374.0,869.0,17.682815022361893,26.285265573781192,34.88656305845956,19.491496939310736,80.58569348303129,60.77461390717704,1014.0,858.0,103.0,343.0
54,1812.5,374.0,869.0,18.911736529707508,27.03627316160351,37.52111785770718,20.807400740312712,82.51333115788381,48.111221302089454,1014.0,858.0,104.0,343.0
55,1844.4,374.0,870.0,20.14065803705312,27.787280749425832,40.7597253513545,22.94941224670201,87.0037132895876,46.78755799251847,1014.0,859.0,103.0,343.0
56,1876.7,374.0,870.0,21.574399795623005,28.53828833724815,43.40599715818075,24.94958068035169,89.80298851139274,48.38706091364219,1014.0,859.0,104.0,344.0
57,1912.5,374.0,869.0,23.07641497126765,29.35756934214523,46.42592361083432,26.2852655737812,95.58278390465873,61.44607536728018,1014.0,859.0,104.0,343.0
58,1944.3,374.0,869.0,24.64670356398704,30.313397181191817,50.14076288126171,27.970053078880625,100.80484586771384,53.72577198102737,1014.0,859.0,104.0,343.0
59,1976.5,374.0,869.0,26.35353899085595,31.269225020238405,53.32781366565239,30.082707599682205,109.03100963433168,54.48121402284112,1014.0,858.0,103.0,343.0
60,2012.5,374.0,870.0,28.19692125187437,32.29332627635975,56.70077953067931,31.76542830895349,109.91433449224104,48.15717933616567,1014.0,859.0,104.0,343.0
61,2044.5,374.0,869.0,30.176850347042304,33.385700949555854,59.38515878160013,33.065573571411456,83.71403437856218,47.98122387787132,1014.0,859.0,103.0,343.0
62,2076.4,374.0,869.0,32.22505285928499,34.54634903982671,63.21612692107061,35.53771459346675,88.93321970337,54.728135202074434,1014.0,859.0,104.0,343.0
63,2112.4,374.0,869.0,34.409802205677195,35.70699713009757,65.99665743214513,37.07446719412454,76.18932719876628,58.12988543202333,1014.0,858.0,103.0,344.0
64,2146.4,374.0,869.0,36.66282496914416,37.00419205451794,69.07905188115629,39.00026998669059,106.54883312990052,68.49956935626282,1014.0,859.0,104.0,343.0
65,2176.3,374.0,869.0,38.98412114968587,38.36966039601307,71.17138270621238,39.99529389566112,70.3311603795479,34.51269166868372,1014.0,858.0,104.0,343.0
66,2213.1,374.0,869.0,41.441964164377104,39.73512873750819,74.65808891982232,42.26753325951762,95.83513134497196,45.009460454632006,1014.0,858.0,103.0,343.0
67,2244.7,374.0,869.0,43.96808059614309,41.16887049607808,78.17466501223721,44.42727357937177,78.50941979137977,41.91759427916327,1015.0,859.0,103.0,344.0
68,2277.7,374.0,870.0,46.56247044498382,42.60261225464796,80.93564735348953,45.77400983195611,122.2578859178324,79.46592640419604,1014.0,858.0,103.0,343.0
69,2312.8,374.0,869.0,49.361680545048834,44.17290084736735,83.97993547269853,47.64687733110056,91.16279348704737,62.901152816840856,1014.0,858.0,103.0,343.0
70,2344.5,374.0,869.0,52.160890645113845,45.81146285716151,86.98061359428493,49.45876217376178,97.96249568051846,58.91384047815133,1014.0,858.0,103.0,343.0
71,2376.6,374.0,870.0,55.164920996403126,47.518298284030415,90.48226902726076,51.75250533653511,70.79816410787535,41.43388157515681,1014.0,859.0,103.0,343.0
72,2412.3,374.0,870.0,58.168951347692406,49.22513371089932,93.01081434481252,47.224481366589565,90.36240997253115,-71.39152396279047,1014.0,859.0,103.0,343.0
73,2444.8,374.0,870.0,61.37780195020596,51.06851597191775,94.38117657010824,41.26745605348339,49.60605817438244,-222.2499545415286,1014.0,859.0,103.0,344.0
168,5612.5,373.0,869.0,8.738997385568812,21.09648587609971,14.652566505949656,9.204315123001065,115.54044572462662,33.884784895557566,1012.0,859.0,102.0,342.0
169,5644.5,372.0,870.0,9.216911305092106,21.369579544398736,16.74697797924869,9.534225031219949,116.46462494575358,54.137666474886586,1012.0,858.0,102.0,343.0
170,5685.0,373.0,869.0,9.967918892914426,21.779220046847275,23.55101179073694,13.013547175323742,167.43337907787347,89.15017538949165,1012.0,859.0,102.0,343.0
171,5712.7,372.0,870.0,10.787199897811504,22.18886054929581,26.894307590656098,14.978626472366107,128.80568371063225,81.37093066063117,1012.0,858.0,102.0,343.0
172,5753.8,372.0,870.0,11.74302773685809,22.735047885893863,33.45697719743684,18.79413969466201,189.29931317296783,115.30267503365954,1012.0,859.0,101.0,342.0
173,5776.8,373.0,870.0,12.835402410054192,23.349508639566668,36.94337101325834,20.723297730829444,124.33915300320224,78.81824629908543,1012.0,859.0,102.0,342.0
174,5813.0,372.0,869.0,14.132597334474564,24.10051622738899,40.72211582359194,23.26978047062398,146.9232940149075,83.95616800851853,1012.0,859.0,102.0,342.0
175,5844.7,372.0,870.0,15.566339093044446,24.919797232286065,47.09277652545142,26.58456755972328,110.71827380205184,56.10387865305766,1012.0,859.0,101.0,344.0
176,5876.5,372.0,869.0,17.13662768576384,25.807351654257896,49.58179089897635,28.18853853138105,129.18983166516358,70.93583194668437,1012.0,859.0,101.0,342.0
177,5912.5,372.0,869.0,18.911736529707508,26.831452910379245,53.28384372478521,29.992681383341388,105.57374922515804,51.17751867926852,1012.0,858.0,101.0,343.0
178,5944.6,372.0,869.0,20.823392207800683,27.85555416650059,58.93645558461229,33.04470570801172,126.39241807303895,73.22821640777133,1011.0,859.0,101.0,342.0
179,5977.5,372.0,869.0,22.80332130296862,29.016202256771447,62.49270290148654,34.94607577302775,126.47179214691944,62.87678669978494,1011.0,859.0,101.0,343.0
180,6017.0,372.0,869.0,25.056344066435575,30.24512376411706,67.99917197094321,37.98451809232494,176.05932725633457,101.77629393285676,1012.0,859.0,101.0,344.0
181,6045.0,372.0,870.0,27.377640246977293,31.54231868853743,71.43658794004382,40.33385509064821,122.61420255308828,71.97396252921105,1011.0,858.0,101.0,343.0
182,6079.5,372.0,870.0,29.83548326166852,32.90778703003256,76.08102441582867,42.35450635473176,139.96588460488718,82.38655803950937,1011.0,858.0,101.0,343.0
183,6112.6,372.0,870.0,32.361599693434506,34.34152878860244,80.53132558816297,45.3141540741018,86.11961871060542,51.56337095787188,1011.0,859.0,101.0,343.0
184,6144.5,372.0,870.0,35.09253637642476,35.91181738132184,82.94478077968589,46.76490403044817,108.70625653519392,57.29335284365244,1012.0,858.0,101.0,342.0
185,6176.7,372.0,870.0,37.89174647648977,37.41383255696648,88.18219318842198,49.784942901902944,109.02935762954316,70.50308284878679,1011.0,858.0,101.0,343.0
186,6212.4,372.0,870.0,40.827503410704296,39.12066798383538,91.11979695554624,51.53182205269232,126.07419626701648,73.03919374334197,1011.0,858.0,101.0,342.0
187,6244.9,372.0,869.0,43.96808059614309,40.89577682777905,95.1322868535154,53.53374690102463,134.0727489195783,77.54415453834912,1011.0,858.0,101.0,343.0
188,6276.6,372.0,870.0,47.24520461573139,42.73915908879747,100.5195904171934,56.75551666562316,137.9655818853993,69.04794345191722,1011.0,858.0,101.0,343.0
189,6312.6,372.0,869.0,50.59060205239445,44.65081476689065,104.13252436484171,59.21218606985863,133.66088176283176,80.26148524201233,1011.0,858.0,101.0,343.0
190,6344.8,372.0,870.0,54.14081974028178,46.63074386205858,108.9434541671371,61.47274403781369,142.42709719897272,81.3947270790488,1012.0,858.0,101.0,343.0
191,6376.4,372.0,869.0,57.96413109646814,48.74721979137603,110.53199089860064,58.35385358513263,62.68372635923564,-37.017143461746855,1011.0,858.0,101.0,342.0
192,6413.0,372.0,869.0,61.71916903557973,51.00024255484299,113.39063184562048,52.4469421512062,50.76357004551031,-215.027300354611,1011.0,858.0,101.0,343.0
237,7912.3,371.0,869.0,1.7751088439436649,67.38586265278451,6.173716801723967,-26.039584858541737,123.59793396844712,-493.9489425799761,1010.0,858.0,100.0,343.0
274,9144.3,370.0,869.0,8.465903717269788,20.9599390419502,18.133826606963613,13.796528812899007,128.60691687295193,11.951212456871035,1010.0,857.0,99.0,342.0
275,9176.5,370.0,869.0,9.216911305092106,21.43785296147349,23.899460755795925,15.708015490723431,163.78090538679118,54.5161423892153,1011.0,857.0,99.0,343.0
276,9212.8,370.0,870.0,10.10446572706394,21.984040298071545,29.12844619052781,15.888243376651545,132.59858423351102,72.32650049100559,1010.0,858.0,99.0,343.0
277,9253.0,370.0,870.0,11.19684040026004,22.530227634669597,35.16761637403609,19.976280606283076,184.80227847336565,101.75167242599954,1010.0,858.0,99.0,342.0
278,9276.5,370.0,870.0,12.425761907605654,23.28123522249191,38.41717254568388,21.54679407442008,126.57333041096808,62.25942928471768,1010.0,858.0,99.0,343.0
279,9317.0,370.0,869.0,13.859503666175538,24.032242810314237,45.27828016395525,25.10544289733837,177.37903521806902,104.58711794827973,1009.0,858.0,99.0,343.0
280,9349.1,370.0,870.0,15.429792258894931,24.919797232286065,50.86365792370552,28.811059297363983,141.8583156924904,82.11468951116761,1009.0,858.0,99.0,343.0
281,9381.1,370.0,869.0,17.13662768576384,25.875625071332653,54.302750495747794,30.105638480224236,177.16620974321646,101.38960333103992,1009.0,858.0,99.0,343.0
282,9412.3,371.0,870.0,18.980009946782264,26.899726327454,58.69306956731033,32.98733165178206,104.14854932243873,60.825028000172495,1009.0,858.0,98.0,343.0
283,9445.0,370.0,870.0,20.9599390419502,28.06037441772486,62.43307270930382,35.19646201499031,99.42249318338746,51.05325037676462,1009.0,859.0,99.0,343.0
284,9476.8,370.0,870.0,23.1446883883424,29.22102250799572,67.24810094516911,37.62409147129983,93.37402953413896,55.73585102790848,1009.0,858.0,99.0,343.0
285,9512.7,370.0,870.0,25.39771115180936,30.518217432416087,69.98757441718969,38.91644924230122,120.84158712933794,57.28488416156208,1009.0,858.0,99.0,343.0
286,9546.2,370.0,869.0,27.787280749425832,31.88368577391121,73.71393252671302,41.49087282593629,123.5194004412986,73.34222019528943,1009.0,858.0,99.0,343.0
287,9576.5,370.0,870.0,30.313397181191817,33.24915411540634,77.03074239541662,43.625474402622125,102.8675241318082,64.65297407384216,1010.0,858.0,98.0,344.0
288,9612.4,370.0,870.0,32.976060447107315,34.68289587397622,80.96511026502817,45.43258363470071,99.36976388046344,73.42994818346409,1010.0,858.0,99.0,342.0
289,9644.6,370.0,870.0,35.63872371302281,36.32145788377038,84.91434626939737,47.78895233704591,104.1312853856197,54.66752596547566,1009.0,858.0,99.0,343.0
290,9677.0,370.0,870.0,38.57448064723734,37.96001989356453,87.53912316250222,49.72951129832065,106.2544811833278,56.82039698483476,1010.0,858.0,99.0,342.0
291,9712.5,370.0,870.0,41.57851099852661,39.59858190335868,90.02019209591253,51.72054173398367,81.5509520213217,52.20358027373754,1009.0,858.0,99.0,343.0
292,9744.6,370.0,870.0,44.65081476689065,41.37369074730235,93.94044567271789,53.137221318208326,76.39070268079035,52.29785365777252,1010.0,858.0,99.0,342.0
293,9777.0,370.0,870.0,47.8596653694042,43.21707300832077,99.96457509716625,56.48631484497727,142.2545575099523,78.31567394829753,1010.0,858.0,99.0,342.0
294,9815.4,370.0,870.0,51.27333622314202,45.1970021034887,103.9200800246463,59.65915691994834,188.6120786634948,102.09409097922035,1010.0,858.0,99.0,343.0
295,9848.5,370.0,870.0,54.82355391102934,47.17693119865663,104.62083765943774,56.363836509289634,129.19913344471323,9.81215964504403,1009.0,858.0,99.0,342.0
305,10178.0,369.0,870.0,64.45010571856999,52.775351398786654,0.6821623993332009,0.3349483671682709,0.1225341158521424,-6.752991273553801,1009.0,858.0,98.0,343.0
306,10209.2,369.0,870.0,64.45010571856999,52.775351398786654,1.0193458896904255,0.6786608523714154,-6.7528174521670845,-13.532619189858828,1009.0,859.0,98.0,343.0
307,10244.6,370.0,870.0,64.45010571856999,52.775351398786654,1.0249557845165362,0.6830760504816017,6.844432275380836,0.0068375946807246,1009.0,858.0,98.0,342.0
308,10277.2,369.0,869.0,64.51837913564475,52.775351398786654,1.031494034425574,0.3436003142306446,6.920442398106948,6.927425690133912,1010.0,858.0,99.0,342.0
309,10309.5,369.0,870.0,64.51837913564475,52.775351398786654,2.9501014804517065,1.3023702555545449,45.25243042846409,25.9694966212274,1009.0,858.0,98.0,342.0
310,10344.5,370.0,870.0,64.5866525527195,52.84362481586141,8.125024421822243,3.386219407554887,135.2990839869962,54.11014653091077,1009.0,858.0,98.0,343.0
311,10376.5,369.0,869.0,64.65492596979426,52.84362481586141,14.934897723882042,7.128300076027973,273.1078292928612,129.72312338937016,1009.0,858.0,98.0,343.0
312,10412.8,369.0,869.0,65.0645664722428,53.04844506708568,25.73520371085554,13.051625413715096,395.89185283202,201.50882202660677,1009.0,858.0,98.0,343.0
313,10445.1,369.0,870.0,66.08866772836414,53.45808556953422,34.368573408899586,21.34653152072122,386.4414525354144,302.95371257776264,1009.0,858.0,98.0,342.0
314,10476.7,369.0,869.0,67.52240948693402,54.20909315735653,43.71836221567443,31.785639203246223,301.4124200443082,362.439334239733,1008.0,857.0,98.0,342.0
315,10508.9,369.0,869.0,69.36579174795244,55.23319441347788,49.89509888525402,33.31358003392554,106.9155389348559,220.17597756153816,1007.0,857.0,98.0,343.0
339,11312.3,371.0,869.0,23.28123522249191,62.12880953802827,4.120976337577112,-20.877533333990986,-177.45661342952988,430.317460317018,1009.0,858.0,97.0,343.0
340,11349.0,370.0,867.0,23.1446883883424,62.12880953802827,12.026743364575635,-19.30682535937471,-355.7078207244138,403.4864233934079,1009.0,857.0,98.0,342.0
341,11376.5,370.0,867.0,22.939868137118133,62.12880953802827,43.81952350964483,-5.074589948009697,43.45478188086896,704.1345225219303,1009.0,857.0,97.0,342.0
344,11477.4,370.0,868.0,27.582460498201563,65.20111330639232,20.74291957956311,15.449344984501822,-500.8701224176738,-297.3171799548026,1008.0,858.0,98.0,343.0
395,13177.0,368.0,869.0,8.056263214821248,20.823392207800683,10.26956610026258,5.478375099357698,96.20424673185984,54.94658649793065,1007.0,858.0,97.0,343.0
396,13212.4,368.0,869.0,8.397630300195031,21.028212459024957,13.278736215342144,7.489728851343248,115.26704745073523,67.8234229328679,1007.0,858.0,97.0,343.0
397,13246.7,368.0,870.0,8.943817636793082,21.30130612732398,17.589394864159377,9.665522067288714,121.97181859104276,71.49091831068795,1007.0,858.0,97.0,343.0
398,13276.7,368.0,870.0,9.558278390465889,21.64267321269776,21.21163901710727,11.974024603491063,123.29571147966692,75.35731529009978,1008.0,858.0,97.0,344.0
399,13312.7,368.0,870.0,10.309285978288209,22.12058713222105,25.64190845072505,14.014736420017588,131.25682563765525,62.28639897489421,1007.0,859.0,97.0,343.0
400,13345.1,368.0,870.0,11.265113817334797,22.59850105174435,29.51887498258761,16.815017438528585,120.49728950709302,73.82402825922867,1007.0,858.0,97.0,343.0
401,13376.5,368.0,870.0,12.28921507345614,23.21296180541716,33.72334789094403,19.07736108644008,127.43993729461856,66.9941172339296,1007.0,858.0,97.0,343.0
402,13412.4,368.0,870.0,13.518136580801755,23.827422559089964,38.14707898205066,21.11158461466257,119.59915292454602,80.07765708619019,1008.0,858.0,97.0,343.0
403,13445.0,368.0,870.0,14.815331505222126,24.64670356398704,42.05775491037442,23.935029303805496,130.53133767582705,68.71875182639586,1007.0,858.0,97.0,343.0
404,13476.9,368.0,870.0,16.317346680866766,25.46598456888412,46.41717158975507,25.93888741012169,125.42507662592088,69.68967407446951,1007.0,858.0,97.0,343.0
405,13512.9,368.0,870.0,17.95590869066092,26.35353899085595,50.364647706494495,28.58512070427407,123.53654308428658,68.64942927423772,1007.0,858.0,97.0,344.0
406,13544.8,368.0,870.0,19.662744117529822,27.377640246977293,55.13863823798674,30.82241463628168,131.6106127773274,69.30500233144436,1007.0,858.0,97.0,343.0
407,13576.7,368.0,870.0,21.574399795623005,28.40174150309864,59.13874778856353,33.158601109108545,129.5163301638252,74.99396718779079,1007.0,858.0,97.0,343.0
408,13613.1,368.0,869.0,23.62260230786569,29.562389593369492,63.33359964282084,35.60188583107614,135.32477301004948,71.40576287749903,1007.0,858.0,97.0,344.0
409,13644.4,368.0,870.0,25.807351654257896,30.791311100715117,66.19532342651803,36.955949556982645,90.41117815703458,53.85834948985954,1007.0,858.0,97.0,343.0
410,13676.6,368.0,869.0,28.12864783479961,32.08850602513548,70.99357200894036,40.27456928828413,107.81748806193802,67.46785822113007,1007.0,858.0,97.0,343.0
411,13712.5,367.0,869.0,30.586490849490843,33.45397436663061,74.9547941078337,42.43705243206321,98.50207739262471,66.12274016047066,1006.0,859.0,97.0,344.0
412,13747.5,367.0,869.0,33.11260728125683,34.88771612520049,77.9819737525076,44.08988392650912,138.23383301638057,84.53029007418426,1006.0,858.0,96.0,343.0
413,13776.7,367.0,869.0,35.775270547172326,36.45800471791989,82.37573908197086,46.82679394527717,119.59843747313596,63.44572133917018,1006.0,858.0,96.0,343.0
414,13812.5,367.0,869.0,38.57448064723734,38.028293310639285,85.97541923555629,48.78805279626469,121.9104251618275,60.89726712355905,1006.0,858.0,96.0,343.0
415,13846.5,366.0,869.0,41.510237581451854,39.66685532043344,91.85721350510806,51.64269402597968,142.07404077352808,68.05173213734221,1006.0,858.0,96.0,343.0
416,13876.4,366.0,870.0,44.58254134981589,41.441964164377104,94.64734240658058,53.11561677554371,126.57214075374142,62.70920003027,1006.0,859.0,96.0,344.0
417,13912.6,366.0,869.0,47.79139195232944,43.21707300832077,99.2385832605096,55.58724766825793,143.08785705502046,74.95078226691486,1006.0,858.0,96.0,344.0
418,13944.6,366.0,869.0,51.20506280606726,45.06045526933919,104.258036197713,58.96398299373942,110.74599373421722,81.21002051830952,1006.0,858.0,96.0,343.0
419,13977.1,367.0,869.0,54.75528049395459,47.10865778158188,106.91549293808065,60.27302794056362,117.08526801487788,79.44395121143532,1007.0,858.0,96.0,343.0
429,14312.8,365.0,869.0,64.85974622101853,53.04844506708568,0.6724857763008104,-0.2981700433872934,-0.1499668922216146,-33.03183808701418,1006.0,859.0,95.0,344.0
431,14376.6,366.0,869.0,64.85974622101853,52.775351398786654,0.6428328747125667,-0.3451759634435768,14.494540579764632,61.6385649006447,1006.0,858.0,95.0,343.0
432,14415.5,366.0,869.0,64.92801963809329,52.84362481586141,1.0477834683438916,0.1193731536543242,7.458587964141351,41.16315643251789,1005.0,858.0,95.0,343.0
433,14444.7,366.0,870.0,64.92801963809329,53.04844506708568,1.3614337926646929,0.3465403138071135,13.57213341431255,-6.9100760479983245,1006.0,859.0,95.0,344.0
435,14512.4,365.0,869.0,65.0645664722428,53.04844506708568,2.056299347450772,-0.265367892203487,13.35701325581498,-49.104148091089854,1006.0,858.0,95.0,344.0
436,14545.0,366.0,870.0,65.13283988931755,53.04844506708568,7.906073932053532,-2.4111934109077118,116.92916547679184,-48.07962933016408,1007.0,858.0,95.0,343.0
437,14576.6,366.0,869.0,65.0645664722428,53.04844506708568,15.72935279635229,-0.6150658654253379,300.6453681862783,-12.289028280226486,1007.0,858.0,95.0,343.0
438,14612.6,365.0,869.0,65.33766014054183,52.775351398786654,31.88927124409885,4.061796408887029,582.1114876752802,135.47469302303566,1006.0,857.0,95.0,343.0
439,14644.5,365.0,869.0,66.49830823081268,52.570531147562384,48.58406996760057,11.148138600941287,700.7189960417415,320.6290165030083,1006.0,858.0,95.0,343.0
514,17144.4,365.0,870.0,6.554248039176609,19.321377032156047,15.710812067089387,16.395941109484607,-0.4717949774958815,-14.160686933444948,1004.0,859.0,95.0,343.0
515,17176.5,365.0,869.0,6.895615124550391,19.867564368754092,16.402022120061346,16.06031332589341,82.09220280310868,6.841016900259071,1005.0,858.0,95.0,343.0
516,17212.6,364.0,869.0,7.305255626998929,20.55029853950166,18.756433262295342,16.02822478777993,156.71527201263424,-20.441122436437663,1005.0,858.0,94.0,343.0
517,17244.5,364.0,869.0,8.124536631896005,20.89166562487544,22.71995351535434,16.645352568558547,140.51458115661774,19.143932868988298,1005.0,858.0,94.0,343.0
